DATE,01:J1,02:J2,03:J4,04:J5,05:J6,06:J6A,07:J7,08:J8,09:J9,10:J10,11:J11,12:J11A,13:J12,14:J13,15:J14,16:J15,17:J15A,18:J16,19:J17,20:J18,21:J19,22:J20,23:J21,24:J21A,25:J22,26:J23,27:J23A,28:J24,29:J24A,30:J25,31:J26,32:J27,33:J28,34:J29,35:J29A,36:J30,37:J31,38:J32,39:J33,40:J34,41:J35,42:J35A,43:J36,44:J37,45:J38,46:J39,47:J40,48:J41,49:J42,50:J43|44,51:J45,52:J46,53:J47,54:J48
2023-05-07 07:00:22.080628,58.458427,69.49957,69.883286,69.978676,70.0,60.89438,59.773815,63.518745,69.34833,59.565628,58.504707,60.597233,63.048042,63.473038,67.850555,67.08774,58.479023,67.78258,68.35083,63.76129,66.82597,70.0,70.0,70.0,69.04334,68.06492,65.40389,63.489933,65.86535,67.22364,68.827995,68.66035,69.97416,69.56234,68.9722,68.132835,70.0,65.415695,59.653145,63.624134,70.0,70.0,70.0,69.247215,69.53925,68.20294,68.769035,67.885155,50.42784,68.495926,68.955574,70.0,70.0,NA
2023-05-07 07:30:25.099174,62.425293,70.0,70.0,70.0,67.91214,62.137115,54.863945,63.754375,68.359085,59.334282,58.504707,63.57452,61.950073,58.491283,68.940544,65.10312,57.9604,68.42414,70.0,67.74979,61.572887,70.0,70.0,70.0,70.0,70.0,64.72921,66.226,68.9722,69.70014,70.0,69.17854,70.0,70.0,69.19252,66.36077,66.782745,66.71292,60.274517,66.73099,70.0,70.0,68.0522,70.0,70.0,64.77049,62.276516,55.9248,47.058685,67.59769,70.0,69.1812,65.50874,NA
2023-05-07 08:00:27.990997,59.031265,70.0,70.0,70.0,70.0,65.24397,58.469982,62.896572,64.683914,57.783077,56.85082,59.058907,59.319817,61.993908,68.78937,70.0,62.29369,70.0,68.9722,67.90117,64.228004,70.0,66.55128,70.0,70.0,68.63674,68.62903,68.47165,67.108086,68.37591,70.0,70.0,69.9358,67.69822,69.19252,67.73305,70.0,67.44877,58.410404,69.37503,70.0,70.0,69.754944,70.0,70.0,70.0,70.0,66.842384,48.563725,64.413376,68.36746,69.59498,67.33656,NA
2023-05-07 08:30:31.306021,61.755894,70.0,69.301254,68.594765,69.04527,60.89438,55.42422,63.95108,62.75849,58.558678,57.367077,60.623962,64.363174,65.18316,70.0,67.9298,63.293423,70.0,68.9722,68.29107,61.855007,69.47053,69.93979,70.0,69.30684,69.665054,66.196846,65.169106,70.0,69.51209,70.0,70.0,70.0,70.0,69.48341,69.59917,68.68952,68.070145,60.273003,66.413864,67.02213,67.72946,69.37562,69.73182,69.8379,70.0,70.0,68.839355,49.640945,66.46919,70.0,70.0,70.0,NA
2023-05-07 09:00:34.579365,57.597412,70.0,68.74215,67.2339,70.0,65.24397,56.78915,64.52015,68.10558,60.032764,56.85082,59.816925,61.588135,62.147903,66.69746,59.911453,61.16999,69.68148,65.86535,62.87691,60.198616,70.0,68.95818,70.0,66.99398,68.82924,67.836075,68.657196,70.0,69.51781,70.0,70.0,69.05582,66.36869,68.130516,67.3963,66.68407,69.70805,61.89099,68.20514,70.0,70.0,69.45631,70.0,68.888885,68.46892,66.626114,67.30806,48.922794,68.64154,69.45069,67.73086,68.64337,NA
2023-05-07 09:30:37.720312,61.755894,69.50208,69.94816,68.85407,70.0,63.379864,60.19825,64.87436,65.80403,59.80142,59.747456,60.773792,64.07362,62.2249,68.065735,65.64466,60.807938,68.87287,70.0,69.66718,62.081776,70.0,70.0,70.0,70.0,70.0,66.98981,68.47254,69.593575,70.0,70.0,70.0,70.0,70.0,70.0,69.75699,69.07088,67.39153,60.274517,68.277985,67.02213,68.9722,68.59288,70.0,68.51631,66.36862,66.626114,64.11264,49.640945,68.12951,70.0,69.1812,69.42916,NA
2023-05-07 10:00:40.941346,59.079296,68.442314,67.62785,66.73834,70.0,63.379864,61.182957,63.370953,64.37736,57.624397,55.091812,58.20668,61.147736,62.230297,68.20252,69.27271,65.054794,70.0,70.0,69.67872,63.738163,69.6551,69.67865,70.0,69.602776,69.522095,66.54002,68.09041,67.72946,70.0,68.827995,67.93581,67.312256,66.60474,65.90493,67.06371,69.07088,65.922585,58.285828,64.0141,67.33945,68.9722,70.0,70.0,70.0,69.91916,68.49023,69.416435,49.640945,66.21598,70.0,70.0,70.0,NA
2023-05-07 10:30:44.228077,60.369564,69.08164,67.76879,61.916218,67.14462,62.758488,59.152443,65.18732,69.908394,59.874096,58.399597,64.50202,63.011852,66.271904,69.91474,68.651344,63.828358,69.71501,69.593575,68.6759,64.03933,67.9448,67.89312,70.0,68.84347,69.522095,66.98981,68.045364,67.72946,69.325424,68.20662,69.17854,69.691086,70.0,70.0,66.13963,63.71855,63.09918,59.7747,63.7827,65.243965,67.72946,70.0,66.69187,70.0,70.0,66.71359,62.40422,47.84558,63.37829,67.267586,69.59498,68.9722,NA
2023-05-07 11:00:47.574880,61.086994,68.24632,67.62785,67.2339,70.0,62.758488,64.320366,65.94267,66.42541,58.790028,60.05349,64.82158,61.18393,63.863422,70.0,67.4086,63.449993,69.72952,68.9722,69.35057,64.69879,70.0,69.75699,70.0,70.0,70.0,69.250404,68.22107,69.593575,66.77589,69.49391,67.4176,57.56787,62.112793,62.23869,69.9882,67.06543,69.934265,60.271496,69.36217,68.19218,68.9722,68.67356,70.0,69.50441,69.623375,68.769035,69.83783,50.35909,68.19435,70.0,70.0,70.0,NA
2023-05-07 11:30:50.676609,68.112686,70.0,67.296196,67.98108,70.0,60.89438,63.440952,66.14748,68.60433,65.16242,68.13132,68.20604,62.53525,55.9288,70.0,67.9298,63.363556,70.0,70.0,70.0,68.72819,70.0,69.18655,65.24397,65.75893,60.553257,64.302765,70.0,70.0,70.0,69.92654,67.62395,70.0,69.38875,70.0,70.0,69.692245,68.070145,58.904175,68.75366,70.0,70.0,70.0,69.31856,67.78654,66.664406,69.17538,68.9722,50.621387,69.86833,70.0,70.0,68.47896,NA
2023-05-07 12:00:53.538124,64.76669,67.33254,66.96454,66.74602,70.0,67.108086,60.38153,65.36174,65.121346,65.706665,66.792755,69.154396,63.633217,64.63879,69.259056,66.58689,69.07494,70.0,69.593575,70.0,64.03933,67.108086,69.58656,70.0,70.0,70.0,69.30371,69.71378,68.9722,66.216644,66.57581,69.281715,70.0,70.0,68.681305,67.830696,66.68407,64.62536,59.527058,65.19687,70.0,68.9722,70.0,70.0,68.491905,66.634605,70.0,69.21646,50.883686,67.63116,70.0,70.0,70.0,NA
2023-05-07 12:30:56.741079,67.92157,70.0,67.44235,69.71938,70.0,64.001236,57.169365,67.02025,64.683914,63.68388,66.056984,64.0861,61.009033,59.195045,70.0,65.84499,64.36329,69.91007,70.0,68.57242,62.081776,68.8738,65.551285,70.0,67.97322,65.98637,68.522415,70.0,70.0,69.56118,66.55882,68.454,69.483894,70.0,68.24068,70.0,68.68952,65.922585,58.53347,65.57396,69.43491,70.0,70.0,70.0,70.0,70.0,68.9722,67.640884,51.145985,70.0,70.0,70.0,69.69393,NA
2023-05-07 13:17:38.500479,63.47642,69.126175,70.0,70.0,70.0,63.379864,62.56155,62.907448,64.438675,62.91272,64.82353,64.90141,61.588135,62.697674,67.427795,64.30175,68.45357,70.0,70.0,68.75907,62.495422,70.0,64.000984,69.593575,68.5768,70.0,69.42198,68.08981,67.72946,66.001915,70.0,70.0,65.014626,64.21296,70.0,66.14379,64.4386,63.54883,60.7698,64.08695,67.33945,70.0,70.0,70.0,70.0,66.33883,66.14415,62.004272,49.640945,60.899982,67.12472,68.9722,63.90088,NA
2023-05-07 13:47:41.644143,57.88358,70.0,67.108086,65.983475,68.9722,67.108086,64.42567,65.59577,66.42541,66.096695,67.213196,67.190674,62.53525,63.396038,68.33302,66.16586,67.108086,67.51216,65.24397,66.47178,58.315453,70.0,66.15864,60.894375,53.165813,61.90075,67.43959,64.42871,70.0,70.0,70.0,70.0,69.94276,70.0,69.26309,69.42656,60.131668,64.230194,62.75849,68.218,70.0,70.0,70.0,70.0,70.0,62.846775,63.16484,63.779808,49.350624,70.0,70.0,70.0,64.18489,NA
